VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
Medvezhia	Kuril Is	1125	45.39	148.84	AD 1900-2005	0900-10=
Demon	Kuril Is	1205	45.5	148.85	Holocene	0900-11-
Ivao Group	Kuril Is	1426	45.77	149.68	Holocene	0900-111
Rudakov	Kuril Is	542	45.88	149.83	Uncertain	0900-112
Tri Sestry	Kuril Is	998	45.93	149.92	Uncertain	0900-113
Kolokol Group	Kuril Is	1328	46.04	150.05	AD 1900-2005	0900-12=
Unnamed	Kuril Is	-100	46.1	150.5	Uncertain	0900-13-
Chirpoi	Kuril Is	742	46.53	150.88	AD 1900-2005	0900-15=
Unnamed	Kuril Is	-502	46.47	151.28	AD 1900-2005	0900-16-
Milne	Kuril Is	1540	46.82	151.78	Holocene	0900-161
Goriaschaia Sopka	Kuril Is	891	46.83	151.75	AD 1900-2005	0900-17=
Zavaritzki Caldera	Kuril Is	624	46.93	151.95	AD 1900-2005	0900-18=
Urataman	Kuril Is	678	47.12	152.23	Holocene	0900-191
Prevo Peak	Kuril Is	1360	47.02	152.12	AD 0-1899	0900-19=
Ketoi	Kuril Is	1172	47.35	152.48	AD 1900-2005	0900-20=
Srednii	Kuril Is	36	47.6	152.92	Holocene	0900-211
Ushishur	Kuril Is	401	47.52	152.8	AD 0-1899	0900-21=
Rasshua	Kuril Is	956	47.77	153.02	AD 1900-2005	0900-22=
Unnamed	Kuril Is	-150	48.08	153.33	AD 1900-2005	0900-23=
Sarychev Peak	Kuril Is	1496	48.09	153.2	AD 1900-2005	0900-24=
Raikoke	Kuril Is	551	48.29	153.25	AD 1900-2005	0900-25=
Chirinkotan	Kuril Is	724	48.98	153.48	AD 1900-2005	0900-26=
Ekarma	Kuril Is	1170	48.96	153.93	AD 1900-2005	0900-27=
Kuntomintar	Kuril Is	828	48.77	154.02	Uncertain	0900-28=
Sinarka	Kuril Is	934	48.88	154.18	AD 0-1899	0900-29=
Kharimkotan	Kuril Is	1145	49.12	154.51	AD 1900-2005	0900-30=
Tao-Rusyr Caldera	Kuril Is	1325	49.35	154.7	AD 1900-2005	0900-31=
Nemo Peak	Kuril Is	1018	49.57	154.81	AD 1900-2005	0900-32=
Shirinki	Kuril Is	761	50.2	154.98	Holocene	0900-331
Fuss Peak	Kuril Is	1772	50.27	155.25	AD 0-1899	0900-34=
Lomonosov Group	Kuril Is	1681	50.25	155.43	Holocene	0900-351
Karpinsky Group	Kuril Is	1345	50.13	155.37	AD 1900-2005	0900-35=
Chikurachki	Kuril Is	1816	50.33	155.46	AD 1900-2005	0900-36=
Vernadskii Ridge	Kuril Is	1183	50.55	155.97	Holocene	0900-37-
Ebeko	Kuril Is	1156	50.68	156.02	AD 1900-2005	0900-38=
Alaid	Kuril Is	2339	50.86	155.55	AD 1900-2005	0900-39=
Mashkovtsev	Kamchatka	503	51.1	156.72	Holocene	1000-001
Kambalny	Kamchatka	2156	51.3	156.87	Holocene	1000-01=
Unnamed	Kamchatka	298	51.6	156.55	Holocene	1000-021
Diky Greben	Kamchatka	1070	51.43	157	AD 0-1899	1000-022
Kurile Lake	Kamchatka	104	51.45	157.12	Holocene	1000-023
Koshelev	Kamchatka	1812	51.36	156.75	AD 0-1899	1000-02=
Ilyinsky	Kamchatka	1578	51.49	157.2	AD 1900-2005	1000-03=
Kell	Kamchatka	900	51.65	157.35	Holocene	1000-041
Belenkaya	Kamchatka	892	51.75	157.27	Holocene	1000-042
Zheltovsky	Kamchatka	1953	51.57	157.32	AD 1900-2005	1000-04=
Ozernoy	Kamchatka	562	51.88	157.38	Holocene	1000-051
Plosky Volc Group	Kamchatka	681	52.02	157.53	Holocene	1000-052
Khodutka	Kamchatka	2090	52.06	157.7	Holocene	1000-053
Piratkovsky	Kamchatka	1322	52.11	157.85	Holocene	1000-054
Olkoviy	Kamchatka	636	52.08	157.48	Holocene	1000-055
Ostanets	Kamchatka	719	52.15	157.32	Holocene	1000-056
Otdelniy	Kamchatka	791	52.22	157.43	Holocene	1000-057
Unnamed	Kamchatka	638	52.33	157.33	Holocene	1000-058
Tundroviy	Kamchatka	739	52.25	157.6	Holocene	1000-059
Ksudach	Kamchatka	1079	51.8	157.53	AD 1900-2005	1000-05=
Golaya	Kamchatka	858	52.26	157.79	Holocene	1000-061
Asacha	Kamchatka	1910	52.36	157.83	Holocene	1000-062
Visokiy	Kamchatka	1234	52.43	157.93	Holocene	1000-063
Mutnovsky	Kamchatka	2322	52.45	158.2	AD 1900-2005	1000-06=
Gorely	Kamchatka	1829	52.56	158.03	AD 1900-2005	1000-07=
Unnamed	Kamchatka	610	52.57	157.02	Holocene	1000-081
Tolmachev Dol	Kamchatka	1021	52.63	157.58	AD 0-1899	1000-082
Vilyuchik	Kamchatka	2173	52.68	158.3	Holocene	1000-083
Barkhatnaya Sopka	Kamchatka	870	52.82	158.27	Holocene	1000-084
Unnamed	Kamchatka	450	52.92	158.52	Holocene	1000-085
Unnamed	Kamchatka	700	52.88	158.3	Holocene	1000-086
Bolshe-Bannaya	Kamchatka	1200	52.9	157.78	Holocene	1000-087
Opala	Kamchatka	2475	52.54	157.34	AD 0-1899	1000-08=
Koryaksky	Kamchatka	3456	53.32	158.69	AD 1900-2005	1000-09=
Avachinsky	Kamchatka	2741	53.26	158.83	AD 1900-2005	1000-10=
Dzenzursky	Kamchatka	2285	53.64	158.92	Holocene	1000-11=
Veer	Kamchatka	520	53.75	158.45	AD 0-1899	1000-121
Kostakan	Kamchatka	1150	53.83	158.05	AD 0-1899	1000-122
Bakening	Kamchatka	2278	53.91	158.07	Holocene	1000-123
Zavaritsky	Kamchatka	1567	53.91	158.39	Holocene	1000-124
Akademia Nauk	Kamchatka	1180	53.98	159.45	AD 1900-2005	1000-125
Zhupanovsky	Kamchatka	2958	53.59	159.15	AD 1900-2005	1000-12=
Karymsky	Kamchatka	1536	54.05	159.43	AD 1900-2005	1000-13=
Maly Semiachik	Kamchatka	1560	54.13	159.67	AD 1900-2005	1000-14=
Bolshoi Semiachik	Kamchatka	1720	54.32	160.02	Holocene	1000-15=
Taunshits	Kamchatka	2353	54.53	159.8	Holocene	1000-16-
Uzon	Kamchatka	1617	54.5	159.97	Holocene	1000-17=
Kikhpinych	Kamchatka	1552	54.49	160.25	AD 0-1899	1000-18=
Krasheninnikov	Kamchatka	1856	54.59	160.27	AD 0-1899	1000-19=
Schmidt	Kamchatka	2020	54.92	160.63	Holocene	1000-201
Kronotsky	Kamchatka	3528	54.75	160.53	AD 1900-2005	1000-20=
Gamchen	Kamchatka	2576	54.97	160.7	Holocene	1000-21=
Vysoky	Kamchatka	2161	55.07	160.77	Holocene	1000-221
Komarov	Kamchatka	2070	55.03	160.72	AD 0-1899	1000-22=
Unnamed	Kamchatka	0	55.92	161.75	Uncertain	1000-232
Kizimen	Kamchatka	2376	55.13	160.32	AD 1900-2005	1000-23=
Udina	Kamchatka	2923	55.76	160.53	Holocene	1000-241
Zimina	Kamchatka	3081	55.86	160.6	Holocene	1000-242
Tolbachik	Kamchatka	3682	55.83	160.33	AD 1900-2005	1000-24=
Kamen	Kamchatka	4585	56.02	160.59	Holocene	1000-251
Bezymianny	Kamchatka	2882	55.98	160.59	AD 1900-2005	1000-25=
Ushkovsky	Kamchatka	3943	56.11	160.47	AD 0-1899	1000-261
Kliuchevskoi	Kamchatka	4835	56.06	160.64	AD 1900-2005	1000-26=
Piip	Kamchatka-E of	-300	55.42	167.33	Holocene	1000-271
Khangar	Kamchatka	2000	54.75	157.38	AD 0-1899	1000-272
Cherpuk Group	Kamchatka	1868	55.55	157.47	Holocene	1000-273
Shiveluch	Kamchatka	3283	56.65	161.36	AD 1900-2005	1000-27=
Ichinsky	Kamchatka	3621	55.68	157.73	Holocene	1000-28=
Maly Payalpan	Kamchatka	1802	55.82	157.98	Uncertain	1000-29-
Bolshoi Payalpan	Kamchatka	1906	55.88	157.78	Uncertain	1000-30-
Plosky	Kamchatka	1236	55.2	158.47	Uncertain	1000-31-
Akhtang	Kamchatka	1956	55.43	158.65	Uncertain	1000-32-
Kozyrevsky	Kamchatka	2016	55.58	158.38	Uncertain	1000-33-
Romanovka	Kamchatka	1442	55.65	158.8	Uncertain	1000-34-
Uksichan	Kamchatka	1692	56.08	158.38	Uncertain	1000-35-
Bolshoi-Kekuknaysky	Kamchatka	1401	56.47	157.8	Uncertain	1000-36-
Kulkev	Kamchatka	915	56.37	158.37	Uncertain	1000-37-
Geodesistoy	Kamchatka	1170	56.33	158.67	Uncertain	1000-38-
Anaun	Kamchatka	1828	56.32	158.83	Uncertain	1000-39-
Krainy	Kamchatka	1554	56.37	159.03	Uncertain	1000-40-
Kekurny	Kamchatka	1377	56.4	158.85	Uncertain	1000-41-
Eggella	Kamchatka	1046	56.57	158.52	Uncertain	1000-42-
Unnamed	Kamchatka	1185	56.82	158.95	Uncertain	1000-43-
Verkhovoy	Kamchatka	1400	56.52	159.53	Uncertain	1000-44-
Alney-Chashakondzha	Kamchatka	2598	56.7	159.65	Holocene	1000-45-
Cherny	Kamchatka	1778	56.82	159.67	Uncertain	1000-46-
Pogranychny	Kamchatka	1427	56.85	159.8	Uncertain	1000-47-
Zaozerny	Kamchatka	1349	56.88	159.95	Uncertain	1000-48-
Bliznets	Kamchatka	1244	56.97	159.78	Uncertain	1000-49-
Kebeney	Kamchatka	1527	57.1	159.93	Uncertain	1000-50-
Fedotych	Kamchatka	965	57.13	160.4	Uncertain	1000-51-
Sedankinsky	Kamchatka	1241	57.23	160.08	Uncertain	1000-52-
Gorny Institute	Kamchatka	2125	57.33	160.2	Uncertain	1000-53-
Leutongey	Kamchatka	1333	57.3	159.83	Uncertain	1000-54-
Tuzovsky	Kamchatka	1533	57.32	159.97	Uncertain	1000-55-
Titila	Kamchatka	1559	57.4	160.1	Uncertain	1000-56-
Mezhdusopochny	Kamchatka	1641	57.47	160.25	Uncertain	1000-57-
Shishel	Kamchatka	2525	57.45	160.37	Uncertain	1000-58-
Elovsky	Kamchatka	1381	57.53	160.53	Holocene	1000-59-
Alngey	Kamchatka	1853	57.7	160.4	Uncertain	1000-60-
Uka	Kamchatka	1643	57.7	160.58	Uncertain	1000-61-
Kaileney	Kamchatka	1582	57.8	160.67	Uncertain	1000-62-
Plosky	Kamchatka	1255	57.83	160.25	Uncertain	1000-63-
Bely	Kamchatka	2080	57.88	160.53	Uncertain	1000-64-
Atlasova	Kamchatka	1764	57.97	160.65	Uncertain	1000-65-
Snezhniy	Kamchatka	2169	58.02	160.75	Uncertain	1000-66-
Iktunup	Kamchatka	2300	58.08	160.77	Uncertain	1000-67-
Ostry	Kamchatka	2552	58.18	160.82	Uncertain	1000-68-
Snegovoy	Kamchatka	2169	58.2	160.97	Uncertain	1000-69-
Severny	Kamchatka	1936	58.28	160.87	Uncertain	1000-70-
Iettunup	Kamchatka	1340	58.4	161.08	Uncertain	1000-71-
Voyampolsky	Kamchatka	1225	58.37	160.62	Uncertain	1000-72-
Balagan-Tas	Russia-NE	993	66.43	143.73	AD 0-1899	1001-03-
Sikhote-Alin	Russia-SE	0	47	137.5	Holocene	1002-01-
Udokan Plateau	Russia-SE	2180	56.28	117.77	Holocene	1002-03-
Tunkin Depression	Russia-SE	1200	51.5	102.5	Uncertain	1002-05-
Oka Plateau	Russia-SE	2077	52.7	98.98	Holocene	1002-06-
Azas Plateau	Russia-SE	2765	52.52	98.6	Holocene	1002-07-
Taryatu-Chulutu	Mongolia	2400	48.17	99.7	Holocene	1003-01-
Khanuy Gol	Mongolia	1886	48.67	102.75	Holocene	1003-02-
Bus-Obo	Mongolia	1162	47.12	109.08	Uncertain	1003-03-
Dariganga Volc Field	Mongolia	1778	45.33	114	Holocene	1003-04-
Middle Gobi	Mongolia	1120	45.28	106.7	Uncertain	1003-05-
Turfan	China-W	0	42.9	89.25	AD 0-1899	1004-01-
Tianshan Volc Group	China-W	0	42.5	82.5	AD 0-1899	1004-02-
Kunlun Volc Group	China-W	5808	35.52	80.2	AD 1900-2005	1004-03-
Unnamed	China-W	5400	35.85	91.7	Holocene	1004-04-
Honggeertu	China-E	1700	41.47	113	Uncertain	1005-01-
Keluo Group	China-E	670	49.37	125.92	Holocene	1005-02-
Wudalianchi	China-E	597	48.72	126.12	AD 0-1899	1005-03-
Jingpohu	China-E	500	44.08	128.83	Holocene	1005-04-
Longgang Group	China-E	1000	42.33	126.5	AD 0-1899	1005-05-
Baitoushan	China-E	2744	41.98	128.08	AD 0-1899	1005-06-
Xianjindao	Korea	0	41.33	128	AD 0-1899	1006-01-
Ch'uga-ryong	Korea	452	38.33	127.33	Uncertain	1006-02-
Ulreung	Korea	984	37.5	130.87	Holocene	1006-03-
Halla	Korea	1950	33.37	126.53	AD 0-1899	1006-04-
Buldir	Aleutian Is	656	52.35	175.91	Uncertain	1101-01-
Kiska	Aleutian Is	1220	52.1	177.6	AD 1900-2005	1101-02-
Segula	Aleutian Is	1160	52.02	178.14	Holocene	1101-03-
Davidof	Aleutian Is	328	51.97	178.33	Uncertain	1101-04-
Little Sitkin	Aleutian Is	1174	51.95	178.54	AD 0-1899	1101-05-
Semisopochnoi	Aleutian Is	1221	51.93	179.58	AD 1900-2005	1101-06-
Gareloi	Aleutian Is	1573	51.79	-178.79	AD 1900-2005	1101-07-
Tanaga	Aleutian Is	1806	51.89	-178.15	AD 1900-2005	1101-08-
Takawangha	Aleutian Is	1449	51.87	-178.01	Holocene	1101-09-
Bobrof	Aleutian Is	738	51.91	-177.44	Uncertain	1101-10-
Kanaga	Aleutian Is	1307	51.92	-177.17	AD 1900-2005	1101-11-
Moffett	Aleutian Is	1196	51.94	-176.75	Uncertain	1101-111
Adagdak	Aleutian Is	610	51.99	-176.59	Uncertain	1101-112
Great Sitkin	Aleutian Is	1740	52.08	-176.13	AD 1900-2005	1101-12-
Kasatochi	Aleutian Is	314	52.18	-175.51	AD 0-1899	1101-13-
Koniuji	Aleutian Is	273	52.22	-175.13	Uncertain	1101-14-
Sergief	Aleutian Is	560	52.03	-174.93	Uncertain	1101-15-
Atka	Aleutian Is	1533	52.38	-174.15	AD 1900-2005	1101-16-
Seguam	Aleutian Is	1054	52.32	-172.51	AD 1900-2005	1101-18-
Amukta	Aleutian Is	1066	52.5	-171.25	AD 1900-2005	1101-19-
Chagulak	Aleutian Is	1142	52.58	-171.13	Holocene	1101-20-
Yunaska	Aleutian Is	550	52.64	-170.63	AD 1900-2005	1101-21-
Herbert	Aleutian Is	1280	52.74	-170.11	Holocene	1101-22-
Carlisle	Aleutian Is	1620	52.89	-170.05	AD 0-1899	1101-23-
Cleveland	Aleutian Is	1730	52.83	-169.94	AD 1900-2005	1101-24-
Uliaga	Aleutian Is	888	53.07	-169.77	Holocene	1101-25-
Kagamil	Aleutian Is	893	52.97	-169.72	AD 1900-2005	1101-26-
Vsevidof	Aleutian Is	2149	53.13	-168.69	AD 0-1899	1101-27-
Recheschnoi	Aleutian Is	1984	53.16	-168.54	Holocene	1101-28-
Okmok	Aleutian Is	1073	53.43	-168.13	AD 1900-2005	1101-29-
Bogoslof	Aleutian Is	150	53.93	-168.03	AD 1900-2005	1101-30-
Makushin	Aleutian Is	1800	53.89	-166.92	AD 1900-2005	1101-31-
Table Top-Wide Bay	Aleutian Is	792	53.97	-166.68	Holocene	1101-311
Akutan	Aleutian Is	1303	54.13	-165.99	AD 1900-2005	1101-32-
Westdahl	Aleutian Is	1654	54.52	-164.65	AD 1900-2005	1101-34-
Fisher	Aleutian Is	1112	54.65	-164.43	AD 0-1899	1101-35-
Shishaldin	Aleutian Is	2857	54.76	-163.97	AD 1900-2005	1101-36-
Isanotski	Aleutian Is	2446	54.77	-163.72	Holocene	1101-37-
Roundtop	Aleutian Is	1871	54.8	-163.59	Holocene	1101-38-
Amak	Aleutian Is	488	55.42	-163.15	AD 0-1899	1101-39-
Frosty	Alaska Peninsula	2012	55.08	-162.81	Holocene	1102-01-
Dutton	Alaska Peninsula	1506	55.17	-162.27	Holocene	1102-011
Emmons Lake	Alaska Peninsula	1436	55.34	-162.08	Holocene	1102-02-
Pavlof	Alaska Peninsula	2519	55.42	-161.89	AD 1900-2005	1102-03-
Pavlof Sister	Alaska Peninsula	2142	55.45	-161.84	AD 0-1899	1102-04-
Dana	Alaska Peninsula	1354	55.64	-161.21	Holocene	1102-05-
Stepovak	Alaska Peninsula	1555	55.93	-160	Holocene	1102-051
Kupreanof	Alaska Peninsula	1895	56.01	-159.8	AD 1900-2005	1102-06-
Veniaminof	Alaska Peninsula	2507	56.17	-159.38	AD 1900-2005	1102-07-
Black Peak	Alaska Peninsula	1032	56.55	-158.78	Holocene	1102-08-
Aniakchak	Alaska Peninsula	1341	56.88	-158.17	AD 1900-2005	1102-09-
Yantarni	Alaska Peninsula	1345	57.02	-157.19	Holocene	1102-10-
Chiginagak	Alaska Peninsula	2221	57.14	-156.99	AD 1900-2005	1102-11-
Kialagvik	Alaska Peninsula	1677	57.2	-156.75	Holocene	1102-12-
Ugashik-Peulik	Alaska Peninsula	1474	57.75	-156.37	AD 0-1899	1102-13-
Ukinrek Maars	Alaska Peninsula	91	57.83	-156.51	AD 1900-2005	1102-131
Unnamed	Alaska Peninsula	300	57.87	-155.42	Holocene	1102-132
Martin	Alaska Peninsula	1863	58.17	-155.36	AD 1900-2005	1102-14-
Mageik	Alaska Peninsula	2165	58.19	-155.25	Holocene	1102-15-
Trident	Alaska Peninsula	1864	58.24	-155.1	AD 1900-2005	1102-16-
Katmai	Alaska Peninsula	2047	58.28	-154.96	AD 1900-2005	1102-17-
Novarupta	Alaska Peninsula	841	58.27	-155.16	AD 1900-2005	1102-18-
Griggs	Alaska Peninsula	2317	58.35	-155.09	Holocene	1102-19-
Snowy Mountain	Alaska Peninsula	2162	58.34	-154.68	Holocene	1102-20-
Denison	Alaska Peninsula	2287	58.42	-154.45	Uncertain	1102-21-
Steller	Alaska Peninsula	2272	58.43	-154.4	Holocene	1102-22-
Kukak	Alaska Peninsula	2043	58.45	-154.36	Holocene	1102-23-
Kaguyak	Alaska Peninsula	901	58.61	-154.03	Holocene	1102-25-
Fourpeaked	Alaska Peninsula	2105	58.77	-153.67	Uncertain	1102-26-
Douglas	Alaska Peninsula	2140	58.86	-153.54	Holocene	1102-27-
Augustine	Alaska-SW	1252	59.36	-153.43	AD 1900-2005	1103-01-
Iliamna	Alaska-SW	3053	60.03	-153.09	AD 0-1899	1103-02-
Redoubt	Alaska-SW	3108	60.49	-152.74	AD 1900-2005	1103-03-
Spurr	Alaska-SW	3374	61.3	-152.25	AD 1900-2005	1103-04-
Hayes	Alaska-SW	3034	61.64	-152.41	AD 0-1899	1103-05-
St. Paul Island	Alaska-W	203	57.18	-170.3	Holocene	1104-01-
Nunivak Island	Alaska-W	511	60.02	-166.33	Holocene	1104-02-
Ingakslugwat Hills	Alaska-W	190	61.43	-164.47	Holocene	1104-03-
St. Michael	Alaska-W	715	63.45	-162.12	Holocene	1104-04-
Kookooligit Mountains	Alaska-W	673	63.6	-170.43	Holocene	1104-05-
Imuruk Lake	Alaska-W	610	65.6	-163.92	AD 0-1899	1104-06-
Buzzard Creek	Alaska-E	830	64.07	-148.42	Holocene	1105-001
Sanford	Alaska-E	4949	62.22	-144.13	Uncertain	1105-01-
Wrangell	Alaska-E	4317	62	-144.02	AD 1900-2005	1105-02-
Gordon	Alaska-E	2755	62.13	-143.08	Uncertain	1105-021
Churchill	Alaska-E	5005	61.38	-141.75	AD 0-1899	1105-03-
Edgecumbe	Alaska-E	970	57.05	-135.75	Holocene	1105-04-
Duncan Canal	Alaska-E	15	56.5	-133.1	Holocene	1105-05-
Tlevak Strait-Suemez Is.	Alaska-E	50	55.25	-133.3	Holocene	1105-06-
Behm Canal-Rudyerd Bay	Alaska-E	500	55.32	-131.05	Uncertain	1105-07-
Fort Selkirk	Canada	1239	62.93	-137.38	Holocene	1200-01-
Alligator Lake	Canada	2217	60.42	-135.42	Holocene	1200-02-
Atlin Volc Field	Canada	1880	59.68	-133.32	Holocene	1200-03-
Tuya Volc Field	Canada	2123	59.37	-130.58	Holocene	1200-031
Heart Peaks	Canada	2012	58.6	-131.97	Uncertain	1200-04-
Level Mountain	Canada	2190	58.42	-131.35	Uncertain	1200-05-
Edziza	Canada	2786	57.72	-130.63	AD 0-1899	1200-06-
Spectrum Range	Canada	2430	57.43	-130.68	Holocene	1200-07-
Hoodoo Mountain	Canada	1850	56.78	-131.28	Holocene	1200-08-
Iskut-Unuk River Cones	Canada	1880	56.58	-130.55	AD 0-1899	1200-09-
Tseax River Cone	Canada	609	55.12	-128.9	AD 0-1899	1200-10-
Crow Lagoon	Canada	335	54.7	-130.23	Holocene	1200-11-
Milbanke Sound Group	Canada	335	52.5	-128.73	Holocene	1200-12-
Satah Mountain	Canada	1921	52.47	-124.7	Holocene	1200-13-
Nazko	Canada	1230	52.9	-123.73	Holocene	1200-14-
Wells Gray-Clearwater	Canada	2015	52.33	-120.57	AD 0-1899	1200-15-
Silverthrone	Canada	3160	51.43	-126.3	Holocene	1200-16-
Bridge River Cones	Canada	2500	50.8	-123.4	Holocene	1200-17-
Meager	Canada	2680	50.63	-123.5	Holocene	1200-18-
Garibaldi Lake	Canada	2316	49.92	-123.03	Holocene	1200-19-
Garibaldi	Canada	2678	49.85	-123	Holocene	1200-20-
Baker	US-Washington	3285	48.78	-121.81	AD 0-1899	1201-01=
Glacier Peak	US-Washington	3213	48.11	-121.11	AD 0-1899	1201-02-
Rainier	US-Washington	4392	46.87	-121.76	AD 0-1899	1201-03-
Adams	US-Washington	3742	46.21	-121.49	AD 0-1899	1201-04-
St. Helens	US-Washington	2549	46.2	-122.18	AD 1900-2005	1201-05-
West Crater	US-Washington	1329	45.88	-122.08	Holocene	1201-06-
Indian Heaven	US-Washington	1806	45.93	-121.82	Holocene	1201-07-
Hood	US-Oregon	3426	45.37	-121.69	AD 0-1899	1202-01-
Jefferson	US-Oregon	3199	44.69	-121.8	AD 0-1899	1202-02-
Blue Lake Crater	US-Oregon	1230	44.42	-121.77	Holocene	1202-03-
Sand Mountain Field	US-Oregon	1664	44.38	-121.93	Holocene	1202-04-
Washington	US-Oregon	2376	44.33	-121.84	AD 0-1899	1202-05-
Belknap	US-Oregon	2095	44.29	-121.84	AD 0-1899	1202-06-
North Sister Field	US-Oregon	3074	44.17	-121.77	AD 0-1899	1202-07-
South Sister	US-Oregon	3157	44.1	-121.77	Holocene	1202-08-
Bachelor	US-Oregon	2763	43.98	-121.69	Holocene	1202-09-
Davis Lake	US-Oregon	2163	43.57	-121.82	Holocene	1202-10-
Newberry Volcano	US-Oregon	2434	43.72	-121.23	AD 0-1899	1202-11-
Devils Garden	US-Oregon	1698	43.51	-120.86	Uncertain	1202-12-
Squaw Ridge Lava Field	US-Oregon	1711	43.47	-120.75	Uncertain	1202-13-
Four Craters Lava Field	US-Oregon	1501	43.36	-120.67	Uncertain	1202-14-
Cinnamon Butte	US-Oregon	1956	43.24	-122.11	Uncertain	1202-15-
Crater Lake	US-Oregon	2487	42.93	-122.12	Holocene	1202-16-
Diamond Craters	US-Oregon	1435	43.1	-118.75	Uncertain	1202-17-
Saddle Butte	US-Oregon	1700	43	-117.8	Uncertain	1202-18-
Jordan Craters	US-Oregon	1473	43.15	-117.47	Holocene	1202-19-
Jackies Butte	US-Oregon	1418	42.61	-117.59	Uncertain	1202-20-
Shasta	US-California	4317	41.42	-122.2	AD 0-1899	1203-01-
Medicine Lake	US-California	2412	41.58	-121.57	AD 0-1899	1203-02-
Brushy Butte	US-California	1174	41.18	-121.44	Uncertain	1203-03-
Big Cave	US-California	1259	40.96	-121.37	Uncertain	1203-04-
Twin Buttes	US-California	1631	40.78	-121.6	Uncertain	1203-05-
Tumble Buttes	US-California	2191	40.68	-121.55	Uncertain	1203-06-
Lassen Volc Center	US-California	3187	40.49	-121.51	AD 1900-2005	1203-08-
Eagle Lake Field	US-California	1652	40.63	-120.83	Uncertain	1203-09-
Clear Lake	US-California	1439	38.97	-122.77	Holocene	1203-10-
Mono Lake Volc Field	US-California	2121	38	-119.03	AD 0-1899	1203-11-
Mono Craters	US-California	2796	37.88	-119	AD 0-1899	1203-12-
Inyo Craters	US-California	2629	37.69	-119.02	AD 0-1899	1203-13-
Long Valley	US-California	3390	37.7	-118.87	Uncertain	1203-14-
Red Cones	US-California	2748	37.58	-119.05	Holocene	1203-15-
Ubehebe Craters	US-California	752	37.02	-117.45	Holocene	1203-16-
Golden Trout Creek	US-California	2886	36.36	-118.32	Holocene	1203-17-
Coso Volc Field	US-California	2400	36.03	-117.82	Uncertain	1203-18-
Lavic Lake	US-California	1495	34.75	-116.63	Uncertain	1203-19-
Amboy	US-California	288	34.55	-115.78	Holocene	1203-20-
Shoshone Lava Field	US-Idaho	1478	43.18	-114.35	Holocene	1204-01-
Craters of the Moon	US-Idaho	2005	43.42	-113.5	Holocene	1204-02-
Wapi Lava Field	US-Idaho	1604	42.88	-113.22	Holocene	1204-03-
Hell's Half Acre	US-Idaho	1631	43.5	-112.45	Holocene	1204-04-
Yellowstone	US-Wyoming	2805	44.43	-110.67	Holocene	1205-01-
Steamboat Springs	US-Nevada	1415	39.38	-119.72	Uncertain	1206-01-
Santa Clara	US-Utah	1465	37.26	-113.63	Uncertain	1207-01-
Bald Knoll	US-Utah	2135	37.33	-112.41	Holocene	1207-03-
Markagunt Plateau	US-Utah	2840	37.58	-112.67	AD 0-1899	1207-04-
Black Rock Desert	US-Utah	1800	38.97	-112.5	AD 0-1899	1207-05-
Dotsero	US-Colorado	2230	39.65	-107.03	Holocene	1208-01-
Uinkaret Field	US-Arizona	1555	36.38	-113.13	AD 0-1899	1209-01-
Sunset Crater	US-Arizona	2447	35.37	-111.5	AD 0-1899	1209-02-
Carrizozo	US-New Mexico	1731	33.78	-105.93	Holocene	1210-01-
Zuni-Bandera	US-New Mexico	2550	34.8	-108	Holocene	1210-02-
Valles Caldera	US-New Mexico	3430	35.87	-106.57	Uncertain	1210-03-
CoAxial Segment	Pacific-NE	-2400	46.52	-129.58	AD 1900-2005	1301-01-
Axial Seamount	Pacific-NE	-1410	45.95	-130	AD 1900-2005	1301-011
Cleft Segment	Pacific-NE	-2140	44.83	-130.3	AD 1900-2005	1301-02-
North Gorda Ridge	Pacific-NE	-3000	42.67	-126.78	AD 1900-2005	1301-021
Unnamed	Pacific-NE	-2533	31.75	-124.25	Uncertain	1301-03-
Loihi	Hawaiian Is	-975	18.92	-155.27	AD 1900-2005	1302-00-
Kilauea	Hawaiian Is	1222	19.43	-155.29	AD 1900-2005	1302-01-
Mauna Loa	Hawaiian Is	4170	19.48	-155.61	AD 1900-2005	1302-02=
Mauna Kea	Hawaiian Is	4205	19.82	-155.47	Holocene	1302-03-
Hualalai	Hawaiian Is	2523	19.69	-155.87	AD 0-1899	1302-04-
Kahoolawe	Hawaiian Is	450	20.57	-156.57	Uncertain	1302-05-
Haleakala	Hawaiian Is	3055	20.71	-156.25	AD 0-1899	1302-06-
Koolau	Hawaiian Is	941	21.37	-157.8	Uncertain	1302-07-
Unnamed	Hawaiian Is	-3000	21.75	-158.75	Uncertain	1302-08-
Unnamed	Hawaiian Is	-4000	23.58	-163.83	AD 1900-2005	1302-09-
Unnamed	Pacific-E	-2500	9.82	-104.3	AD 1900-2005	1303-01-
Galápagos Rift	Pacific-E	-2430	0.79	-86.15	AD 1900-2005	1303-02-
Teahitia	Society Is-C Pacific	-1600	-17.57	-148.85	Holocene	1303-03-
Rocard	Society Is-C Pacific	-2100	-17.64	-148.6	Holocene	1303-04-
Moua Pihaa	Society Is-C Pacific	-180	-18.32	-148.67	Holocene	1303-05-
Mehetia	Society Is-C Pacific	435	-17.87	-148.07	Holocene	1303-06-
Unnamed	Pacific-E	-2566	-17.44	-113.21	AD 1900-2005	1303-061
